date,value
2019-08 ,2513.0
2019-09 ,2475.0
2019-10 ,2453.0
2019-11 ,2437.0
2019-12 ,2429.0
2020-01 ,2402.0
2020-02 ,2269.0
2020-03 ,2195.0
2020-04 ,2275.0
2020-05 ,1975.0
2020-06 ,1866.0
2020-07 ,1996.0
