date,value
2019-08 ,17.0
2019-09 ,17.0
2019-10 ,17.0
2019-11 ,17.0
2019-12 ,17.0
2020-01 ,18.0
2020-02 ,18.0
2020-03 ,20.0
2020-04 ,23.0
2020-05 ,24.0
2020-06 ,24.0
2020-07 ,23.0
