date,value
2019-08 ,133.0
2019-09 ,134.0
2019-10 ,140.0
2019-11 ,142.0
2019-12 ,141.0
2020-01 ,149.0
2020-02 ,139.0
2020-03 ,135.0
2020-04 ,161.0
2020-05 ,154.0
2020-06 ,147.0
2020-07 ,147.0
