date,value
2019-08 ,103.21
2019-09 ,103.17
2019-10 ,103.15
2019-11 ,103.22
2019-12 ,102.99
2020-01 ,104.03
2020-02 ,104.01
2020-03 ,104.25
2020-05 ,105.5
2020-06 ,106.59
2020-07 ,105.94
