date,value
2019-08 ,107.35
2019-09 ,106.75
2019-10 ,106.22
2019-11 ,106.34
2019-12 ,107.01
2020-01 ,107.47
2020-02 ,107.39
2020-03 ,107.34
2020-04 ,109.63
2020-05 ,110.24
2020-06 ,109.18
2020-07 ,107.99
