date,value
2019-05 ,112.29
2019-06 ,112.42
2019-07 ,111.24
2019-08 ,110.81
2019-09 ,109.52
2019-10 ,110.56
2019-11 ,110.43
2019-12 ,111.01
2020-01 ,112.86
2020-02 ,114.03
2020-03 ,114.13
2020-04 ,114.32
