date,value
2019-08 ,110.43
2019-09 ,111.09
2019-10 ,111.56
2019-11 ,112.71
2019-12 ,113.35
2020-01 ,116.06
2020-02 ,116.58
2020-03 ,116.88
2020-04 ,117.55
2020-05 ,117.81
2020-06 ,116.93
2020-07 ,115.6
