date,value
2019-04 ,100.74
2019-05 ,101.03
2019-06 ,102.26
2019-07 ,101.81
2019-08 ,103.49
2019-09 ,101.65
2019-10 ,101.27
2019-11 ,100.73
2019-12 ,100.03
2020-01 ,99.22
2020-02 ,99.37
2020-03 ,99.59
