date,value
2019-09 ,110.02
2019-10 ,110.1
2019-11 ,110.1
2019-12 ,110.62
2020-01 ,110.81
2020-02 ,110.84
2020-03 ,110.69
2020-04 ,110.86
2020-05 ,110.34
2020-06 ,110.81
2020-07 ,110.53
