date,value
2019-06 ,108.0
2019-07 ,108.4
2019-08 ,108.5
2019-09 ,108.0
2019-10 ,108.5
2019-11 ,108.6
2019-12 ,108.8
2020-01 ,110.5
2020-02 ,110.8
2020-03 ,110.8
2020-04 ,110.6
